Rome1;Rome2;Rome3;Intitule;OGR
F;15;03;Charpentier / Charpentière de restauration;11956
F;15;03;Charpentier escaliéteur / Charpentière escaliéteuse;11957
F;15;03;Charpentier naval / Charpentière navale sur ossature bois;11964
F;15;03;Traceur / Traceuse de charpentes en bois;20393
F;16; ;Second oeuvre; 
F;16;01;"Application et décoration en plâtre; stuc et staff"; 
F;16;01;Gypsier / Gypsière;15461
F;16;01;Plâtrier / Plâtrière;17828
F;16;01;Plâtrier staffeur / Plâtrière staffeuse;17829
F;16;01;Staffeur / Staffeuse;19516
F;16;01;Staffeur / Staffeuse ornemaniste;19517
F;16;01;Stucateur / Stucateuse;19539
F;16;02;Électricité bâtiment; 
F;16;02;Chef d'équipe électricien;12448
F;16;02;Électricien / Électricienne bâtiment tertiaire;14614
F;16;02;Électricien / Électricienne d'équipement;14631
F;16;02;Électricien / Électricienne d'équipement domestique;14632
F;16;02;Électricien / Électricienne de chantier;14617
F;16;02;Électricien / Électricienne du bâtiment;14635
F;16;02;Électricien / Électricienne photovoltaïque;38135
F;16;02;Électricien / Électricienne tertiaire;14643
F;16;02;Électrotechnicien / Électrotechnicienne d'installation;14681
F;16;02;Enseigniste;14855
F;16;02;Monteur électricien / Monteuse électricienne;16801
F;16;02;Technicien / Technicienne de pose de compteurs électriques;38897
F;16;03;Installation d'équipements sanitaires et thermiques; 
F;16;03;Aide plombier / plombière;38414
F;16;03;Chauffagiste;11981
F;16;03;Chef d'équipe chauffagiste;12396
F;16;03;Chef d'équipe dépanneur / dépanneuse d'installations sanitaires;38413
F;16;03;Chef d'équipe dépanneur / dépanneuse de chaudières domestiques;38412
F;16;03;Chef d'équipe plombier / plombière;12485
F;16;03;Dépanneur / Dépanneuse de chaudières domestiques;13966
F;16;03;Dépanneur / Dépanneuse en chauffage central;13971
F;16;03;Dépanneur / Dépanneuse en installations sanitaires;13974
F;16;03;Installateur / Installatrice de chauffage bois;39001
F;16;03;Installateur / Installatrice de chauffage solaire individuel;38134
F;16;03;"Installateur / Installatrice en chauffage; climatisation; sanitaire et énergies renouvelables";38853
F;16;03;Installateur / Installatrice en sanitaire;16004
F;16;03;Monteur / Monteuse de brûleurs à fuel et gaz;16767
F;16;03;Monteur / Monteuse en chauffage;16810
F;16;03;Monteur / Monteuse en chauffage central;16811
F;16;03;Monteur / Monteuse en installations sanitaires;16826
F;16;03;Monteur / Monteuse en installations thermiques;16827
F;16;03;Monteur / Monteuse en plomberie chauffage;16836
F;16;03;Ouvrier / Ouvrière d'entretien de chaufferie;17473
F;16;03;Plombier / Plombière;17837
F;16;03;Plombier / Plombière chauffagiste;17838
F;16;03;Plombier / Plombière sanitaire;17839
F;16;03;Plombier zingueur / Plombière zingueuse;17840
F;16;03;Poseur / Poseuse de compteurs d'eau;17915
F;16;03;Poseur / Poseuse de compteurs gaz;17916
F;16;03;Ramoneur / Ramoneuse;18285
F;16;03;Régleur / Régleuse de chaudières;18427
F;16;03;Régleur-dépanneur / Régleuse-dépanneuse d'appareils à gaz;18492
F;16;03;Technicien / Technicienne d'équipements de piscine;19942
F;16;04;Montage d'agencements; 
F;16;04;Agenceur / Agenceuse de cuisine;10345
F;16;04;Agenceur / Agenceuse de stands;10346
F;16;04;Chef d'équipe en agencement;12449
F;16;04;Installateur / Installatrice de cuisines;16000
F;16;04;Installateur / Installatrice de stands;16002
F;16;04;Jointeur / Jointeuse plaquiste;16074
F;16;04;Monteur / Monteuse d'agencement en isolation thermique;16761
F;16;04;Monteur / Monteuse d'agencement en isolation thermique et phonique;16762
F;16;04;Monteur / Monteuse de chambres blanches;16771
F;16;04;Monteur / Monteuse de chambres froides;16772
F;16;04;Monteur / Monteuse de cloisons;16776
F;16;04;Monteur / Monteuse de stands;16794
F;16;04;Monteur / Monteuse en agencement;16805
F;16;04;Monteur / Monteuse en chambres froides et entrepôts frigorifiques;16808
F;16;04;Monteur / Monteuse en éléments préfabriqués;16818
F;16;04;Monteur / Monteuse en faux-plafonds;16821
F;16;04;Monteur / Monteuse plaquiste;16850
F;16;04;Monteur jointeur / Monteuse jointeuse plaquiste;16846
F;16;04;Monteur-poseur / Monteuse-poseuse en agencement;16892
F;16;04;Plaquiste;17821
F;16;04;Plaquiste enduiseur / enduiseuse;38064
F;16;04;Plâtrier-plaquiste / Plâtrière-plaquiste;17831
F;16;04;Poseur / Poseuse de cloisons;17911
F;16;04;Poseur / Poseuse de cloisons préfabriquées;17912
F;16;04;Poseur / Poseuse de cuisines;17917
F;16;04;Poseur / Poseuse de faux-plafonds;17918
F;16;04;Poseur / Poseuse de plaques de plâtre;17930
F;16;04;Sapeur / Sapeuse de construction modulaire militaire;19307
F;16;05;Montage de réseaux électriques et télécoms; 
F;16;05;Agent / Agente de lignes téléphoniques;10475
F;16;05;Aide électricien monteur / électricienne monteuse réseaux;10845
F;16;05;Câbleur / Câbleuse de réseaux électriques;11615
F;16;05;Câbleur / Câbleuse haute et basse tension;11621
F;16;05;Caténairiste;11712
F;16;05;Chef d'équipe d'électriciens monteurs réseaux;12436
F;16;05;Contrôleur / Contrôleuse de caténaires;13593
F;16;05;Électricien / Électricienne d'éclairage public;14628
F;16;05;Électricien / Électricienne des Travaux Publics;14634
F;16;05;Électricien / Électricienne en balisage;14636
F;16;05;Électricien / Électricienne lignes et réseaux;14639
F;16;05;Électricien / Électricienne réseaux;14641
F;16;05;Électricien monteur / Électricienne monteuse réseaux;14640
F;16;05;Lignard / Lignarde;16193
F;16;05;Monteur / Monteuse de caténaires;16768
F;16;05;Monteur / Monteuse de lignes aéro-souterraines;16783
F;16;05;Monteur / Monteuse de lignes électriques;16784
F;16;05;Monteur / Monteuse de lignes haute et très haute tension;16785
F;16;05;Monteur / Monteuse de lignes téléphoniques;16786
F;16;05;Monteur / Monteuse de réseaux électriques;16793
F;16;05;Monteur / Monteuse en éclairage public;16817
F;16;05;Monteur / Monteuse en lignes caténaires;16830
F;16;05;Monteur / Monteuse réseaux;16860
F;16;05;Monteur-câbleur / Monteuse-câbleuse haute et basse tension;16878
F;16;05;Monteur-électricien / Monteuse-électricienne en réseaux de distribution électrique;16888
F;16;05;Monteur électricien / Monteuse électricienne travaux souterrains;16804
F;16;05;Opérateur / Opératrice d'éclairage public;17178
F;16;05;Poseur tireur / Poseuse tireuse de câbles en fibre optique;38136
F;16;05;Technicien / Technicienne d'exploitation de lignes électriques;19973
F;16;05;Technicien / Technicienne d'intervention en réseaux électriques;20013
F;16;06;Peinture en bâtiment; 
F;16;06;Aide peintre;38415
F;16;06;Applicateur / Applicatrice d'enduits;11085
F;16;06;Applicateur / Applicatrice de résines de synthèse;11083
F;16;06;Chef d'équipe peinture;12483
F;16;06;Peintre d'intérieur;17618
F;16;06;Peintre décorateur / décoratrice;17617
F;16;06;Peintre en bâtiment;17619
F;16;06;Peintre enduiseur / enduiseuse;17629
F;16;06;Peintre en lettres;17624
F;16;06;Peintre finisseur / finisseuse;17630
F;16;06;Peintre plâtrier / plâtrière;17638
F;16;06;Peintre ragréeur / ragréeuse;17640
F;16;06;Peintre tapissier / tapissière;17647
F;16;06;Peintre vitrier / vitrière;17649
F;16;06;Poseur / Poseuse de papiers peints;17926
F;16;06;Poseur / Poseuse de plafonds tendus;17929
F;16;06;Poseur / Poseuse de tissu tendu;17937
F;16;07;Pose de fermetures menuisées; 
F;16;07;Aide poseur / poseuse de menuiseries;38497
F;16;07;Chef d'équipe en pose de menuiseries;12468
F;16;07;Chef d'équipe en pose de miroiterie;12469
F;16;07;Dépanneur / Dépanneuse en serrurerie;13977
F;16;07;Menuisier / Menuisière aluminium;16612
F;16;07;Menuisier / Menuisière PVC;16627
F;16;07;Menuisier poseur / Menuisière poseuse aluminium;16625
F;16;07;Menuisier poseur / Menuisière poseuse de fermetures;16626
F;16;07;Métallier-poseur / Métallière-poseuse;16638
F;16;07;Métallier poseur / Métallière poseuse de menuiseries métalliques;16636
F;16;07;Métallier-serrurier / Métallière-serrurière;16639
F;16;07;Miroitier / Miroitière;16683
F;16;07;Miroitier-poseur / Miroitière-poseuse;16685
F;16;07;Miroitier poseur / Miroitière poseuse aluminium;16684
F;16;07;Monteur techniverrier / Monteuse techniverrière;16865
F;16;07;Ouvrier poseur / Ouvrière poseuse de menuiserie;17525
F;16;07;Ouvrier poseur / Ouvrière poseuse de menuiseries extérieures;17526
F;16;07;Poseur / Poseuse aluminium/PVC;17901
F;16;07;Poseur / Poseuse de clôtures;17914
F;16;07;Poseur / Poseuse de fermetures;17920
F;16;07;Poseur / Poseuse de stores;17936
F;16;07;Poseur / Poseuse de vérandas;17939
F;16;07;Poseur / Poseuse de verrières;17940
F;16;07;Poseur / Poseuse de vitrages;17941
F;16;07;Poseur / Poseuse de volets roulants;17943
F;16;07;Poseur / Poseuse en fermetures de bâtiment;17946
F;16;07;Poseur / Poseuse en métallerie;17948
F;16;07;Poseur-monteur / Poseuse-monteuse en miroiterie;17950
F;16;07;Serrurier / Serrurière du bâtiment;19416
F;16;07;Serrurier-poseur / Serrurière-poseuse;19419
F;16;07;Vitrier / Vitrière;20715
F;16;08;Pose de revêtements rigides; 
F;16;08;Aide carreleur / carreleuse;38416
F;16;08;Carreleur / Carreleuse;11690
F;16;08;Carreleur / Carreleuse mosaïste;11691
F;16;08;Carreleur-faïencier / Carreleuse-faïencière;11692
F;16;08;Carreleur-faïencier / Carreleuse-faïencière mosaïste;11693
F;16;08;Chef d'équipe carreleur / carreleuse;12395
F;16;08;Faïencier-poseur / Faïencière-poseuse;15059
F;16;08;Installateur polisseur / Installatrice polisseuse de dallage industriel;38498
F;16;08;Marbrier-poseur / Marbrière-poseuse;16386
F;16;08;Mosaïste;16900
F;16;08;Mosaïste-poseur / Mosaïste-poseuse;16902
F;16;08;Ouvrier carreleur / Ouvrière carreleuse;17408
F;16;08;Parqueteur / Parqueteuse;17565
F;16;08;Parqueteur menuisier / Parqueteuse menuisière;17566
F;16;08;Ponceur-vitrificateur / Ponceuse-vitrificatrice de parquets;17883
F;16;08;Poseur / Poseuse de granit;17921
F;16;08;Poseur / Poseuse de parquet;17927
F;16;08;Poseur / Poseuse de revêtements en pierre;17931
F;16;09;Pose de revêtements souples; 
F;16;09;Applicateur / Applicatrice de résines sur sol;11084
F;16;09;Chef d'équipe solier-moquettiste / solière-moquettiste;12491
F;16;09;Enduiseur / Enduiseuse de sols en matière synthétique;14832
F;16;09;Poseur / Poseuse d'adhésifs;17902
F;16;09;Poseur / Poseuse de linoléum;17922
F;16;09;Poseur / Poseuse de moquette;17924
F;16;09;Poseur / Poseuse de revêtements souples de sols;17932
F;16;09;Poseur / Poseuse de revêtements souples muraux;17933
F;16;09;Poseur / Poseuse de revêtements souples murs et sols;17934
F;16;09;Solier-moquettiste / Solière-moquettiste;19451
F;16;10;Pose et restauration de couvertures; 
F;16;10;Aide couvreur / couvreuse;38499
F;16;10;Chef d'équipe de couvreurs;12407
F;16;10;Couvreur / Couvreuse;13822
F;16;10;Couvreur / Couvreuse de chaume;13825
F;16;10;Couvreur / Couvreuse en monuments historiques;13826
F;16;10;Couvreur ardoisier / Couvreuse ardoisière;13823
F;16;10;Couvreur charpentier / Couvreuse charpentière;13824
F;16;10;Couvreur ferblantier / Couvreuse ferblantière;13827
F;16;10;Couvreur lauzier / Couvreuse lauzière;13828
F;16;10;Couvreur poseur / Couvreuse poseuse de panneaux solaires;38065
F;16;10;Couvreur tuilier / Couvreuse tuilière;13829
F;16;10;Couvreur zingueur / Couvreuse zingueuse;13830
F;16;10;Monteur / Monteuse de panneaux photovoltaïques;38066
F;16;10;Zingueur / Zingueuse;20738
F;16;11;Réalisation et restauration de façades; 
F;16;11;Cimentier ravaleur / Cimentière ravaleuse;12642
F;16;11;Crépisseur / Crépisseuse;13845
F;16;11;Enduiseur / Enduiseuse;14830
F;16;11;Enduiseur / Enduiseuse de sols en extérieur;14831
F;16;11;Façadier / Façadière;15029
F;16;11;Façadier / Façadière isolation thermique par l'extérieur - ITE;38632
F;16;11;Façadier-bardeur / Façadière-bardeuse;15030
F;16;11;Façadier-enduiseur / Façadière-enduiseuse;15031
F;16;11;Façadier-peintre / Façadière-peintre;15032
F;16;11;Façadier-ravaleur / Façadière-ravaleuse;15033
F;16;11;Façadier-sableur / Façadière-sableuse;15034
F;16;11;Maçon-projeteur / Maçonne-projeteuse;16274
F;16;11;Maçon-ravaleur / Maçonne-ravaleuse;16275
F;16;11;Peintre ravaleur / ravaleuse;17641
F;16;11;Ravaleur / Ravaleuse;18289
F;16;11;Ravaleur / Ravaleuse de façades;18290
F;16;11;Ravaleur-plâtrier / Ravaleuse-plâtrière;18292
F;16;11;Ravaleur-projeteur / Ravaleuse-projeteuse;18293
F;16;11;Ravaleur-ragréeur / Ravaleuse-ragréeuse;18294
F;16;12;Taille et décoration de pierres; 
F;16;12;Marbrier / Marbrière d'art;16385
F;16;12;Marqueteur / Marqueteuse de pierres dures;16416
F;16;12;Mosaïste d'art;16901
F;16;12;Ravaleur / Ravaleuse de pierre de taille;18291
F;16;12;Sculpteur / Sculptrice ornemaniste sur pierre;19339
F;16;12;Tailleur / Tailleuse de pierre;19619
F;16;12;Tailleur de pierre-fontainier / Tailleuse de pierre-fontainière;19621
F;16;12;Tailleur de pierre-marbrier / Tailleuse de pierre-marbrière;19622
F;16;12;Tailleur de pierre restaurateur / Tailleuse de pierre restauratrice;19620
F;16;12;Tailleur moellonneur / Tailleuse moellonneuse;19626
F;16;12;Tailleur-polisseur / Tailleuse-polisseuse de roches;19629
F;16;12;Tourneur / Tourneuse sur pierre;20379
F;16;13;Travaux d'étanchéité et d'isolation; 
F;16;13;Applicateur / Applicatrice d'asphalte;11082
F;16;13;Applicateur / Applicatrice d'étanchéité;11087
F;16;13;Asphalteur / Asphalteuse;11165
F;16;13;Calorifugeur / Calorifugeuse;11657
F;16;13;Chef d'équipe en étanchéité;12456
F;16;13;Étanchéiste;14910
F;16;13;Étancheur / Étancheuse;14911
F;16;13;Étancheur-bardeur / Étancheuse-bardeuse;14913
F;16;13;Étancheur-couvreur / Étancheuse-couvreuse;14914
F;16;13;Monteur / Monteuse en isolation thermique industrielle;16828
F;16;13;Monteur-calorifugeur / Monteuse-calorifugeuse sur tuyauteries et appareils;16881
F;16;13;Ouvrier / Ouvrière de désenfumage;17430
F;16;13;Poseur / Poseuse en isolation thermique;17947
F;16;13;Revêtisseur-étanchéiste / Revêtisseuse-étanchéiste;19255
F;16;13;Tôlier-calorifugeur / Tôlière-calorifugeuse;20354
F;17; ;Travaux et gros oeuvre; 
F;17;01;Construction en béton; 
F;17;01;Bancheur / Bancheuse;11489
F;17;01;Bancheur-coffreur / Bancheuse-coffreuse;11490
F;17;01;Batteur / Batteuse de palplanches;140960
F;17;01;Batteur / Batteuse de pieux;11498
F;17;01;Bétonneur / Bétonneuse;11503
F;17;01;Bétonnier / Bétonnière;11504
F;17;01;Boiseur / Boiseuse;11551
F;17;01;Chef d'équipe coffreur / coffreuse;12397
F;17;01;Chef d'équipe ferrailleur / ferrailleuse du BTP;12473
F;17;01;Coffreur / Coffreuse;12679
F;17;01;Coffreur / Coffreuse béton armé;12681
F;17;01;Coffreur / Coffreuse génie civil;12682
F;17;01;Coffreur / Coffreuse métallique;12684
F;17;01;Coffreur bancheur / Coffreuse bancheuse;12680
F;17;01;Coffreur-boiseur / Coffreuse-boiseuse;12685
F;17;01;Coffreur-boiseur-escaliéteur / Coffreuse-boiseuse-escaliéteuse;12686
F;17;01;Coffreur-ferrailleur / Coffreuse-ferrailleuse;12687
F;17;01;Coffreur glissant / Coffreuse glissante;12683
F;17;01;Constructeur / Constructrice en béton armé;13520
F;17;01;Constructeur / Constructrice en maçonnerie et béton armé;13522
F;17;01;Façonneur-assembleur-ferrailleur / Façonneuse-assembleuse-ferrailleuse;15036
F;17;01;Ferrailleur / Ferrailleuse du BTP;15071
F;17;01;Ferrailleur-attacheur / Ferrailleuse-attacheuse du BTP;15072
F;17;01;Maçon-monteur industriel / Maçonne-monteuse industrielle;16271
F;17;01;Monteur / Monteuse d'éléments préfabriqués;16797
F;17;01;Monteur / Monteuse en préfabrications lourdes;16838
F;17;01;Monteur-assembleur / Monteuse-assembleuse en treillis soudés;16867
F;17;01;Ouvrier / Ouvrière du béton;17486
F;17;01;Ouvrier / Ouvrière génie civil;17503
F;17;01;Piscinier / Piscinière en piscines collectives en béton;17802
F;17;02;Construction de routes et voies; 
F;17;02;Agent / Agente d'entretien de la voie ferrée;10665
F;17;02;Chef d'application d'enrobés;12029
F;17;02;Chef d'entretien de la voie ferrée;12387
F;17;02;Chef d'équipe des travaux de voirie communale;12442
F;17;02;Chef d'équipe mise en oeuvre d'enrobés;12478
F;17;02;Chef d'équipe produits noirs;12488
F;17;02;Compagnon / Compagnonne Voiries et Réseaux Divers -VRD-;12780
F;17;02;Compagnon routier / Compagnonne routière;12779
F;17;02;Conducteur / Conductrice de répandeuses;13163
F;17;02;Maçon / Maçonne Voiries et Réseaux Divers -VRD-;16257
F;17;02;Ouvrier / Ouvrière en voiries;17499
F;17;02;Ouvrier / Ouvrière Voiries et Réseaux Divers -VRD-;17541
F;17;02;Ouvrier poseur / Ouvrière poseuse de voies ferrées;17527
F;17;02;Ouvrier régleur / Ouvrière régleuse d'enrobés;17528
F;17;02;Paveur / Paveuse;17597
F;17;02;Poseur / Poseuse de bordures et caniveaux;17905
F;17;02;Poseur / Poseuse de panneaux de signalisation;17925
F;17;02;Poseur / Poseuse de voies ferrées;17942
F;17;02;Régaleur / Régaleuse sur voiries;18399
F;17;02;Régaleur-répandeur / Régaleuse-répandeuse;18400
F;17;02;Sapeur / Sapeuse travaux lourds et voies ferrées;19308
F;17;03;Maçonnerie; 
F;17;03;Atrier / Atrière;11365
F;17;03;Atrier-fumiste / Atrière-fumiste;11366
F;17;03;Brasqueur / Brasqueuse;11589
F;17;03;Briqueteur / Briqueteuse;11596
F;17;03;Chapiste;11739
F;17;03;Chef d'équipe maçon / maçonne;12477
F;17;03;Cimentier / Cimentière;12639
F;17;03;Cimentier applicateur / Cimentière applicatrice;12640
F;17;03;Cimentier enduiseur / Cimentière enduiseuse;12641
F;17;03;Fumiste;15173
F;17;03;Installateur-poseur / Installatrice-poseuse de piscines préfabriquées;16006
F;17;03;Maçon / Maçonne;16250
F;17;03;Maçon / Maçonne du paysage;16252
F;17;03;Maçon / Maçonne en monuments funéraires;16253
F;17;03;Maçon / Maçonne en rénovation;16254
F;17;03;Maçon / Maçonne en thermique industrielle;16255
F;17;03;Maçon / Maçonne pierre;16256
F;17;03;Maçon-applicateur / Maçonne-applicatrice;16258
F;17;03;Maçon bâtisseur / Maçonne bâtisseuse de pierres sèches;16251
F;17;03;Maçon-boiseur / Maçonne-boiseuse;16259
F;17;03;Maçon-briqueteur / Maçonne-briqueteuse;16260
F;17;03;Maçon-carreleur / Maçonne-carreleuse;16261
F;17;03;Maçon-cimentier / Maçonne-cimentière;16262
F;17;03;Maçon-coffreur / Maçonne-coffreuse;16263
F;17;03;Maçon-couvreur / Maçonne-couvreuse;16264
F;17;03;Maçon-enduiseur / Maçonne-enduiseuse;16265
F;17;03;Maçon-ferrailleur / Maçonne-ferrailleuse;16266
F;17;03;Maçon-finisseur / Maçonne-finisseuse;16267
F;17;03;Maçon-fumiste / Maçonne-fumiste;16268
F;17;03;Maçon-fumiste / Maçonne-fumiste en verrerie;16269
F;17;03;Maçon-limousinant / Maçonne-limousinante;16270
F;17;03;Maçon-piscinier / Maçonne-piscinière;16272
F;17;03;Maçon-plâtrier / Maçonne-plâtrière;16273
F;17;03;Maçon poseur / Maçonne poseuse de cheminées et poêles;38217
F;17;03;Moellonneur / Moellonneuse;16720
F;17;03;Murailler / Muraillère;200101
F;17;03;Ouvrier / Ouvrière de la maçonnerie;17441
F;17;03;Parpineur / Parpineuse;17564
F;17;04;Préparation du gros oeuvre et des travaux publics; 
F;17;04;Aide-maçon / Aide-maçonne;10879
F;17;04;Aide maçon / maçonne Voiries et Réseaux Divers VRD;10851
F;17;04;Bâtisseur / Bâtisseuse du génie militaire;11496
F;17;04;Borneur / Borneuse;11558
F;17;04;Démolisseur / Démolisseuse;13954
F;17;04;Démolisseur-récupérateur / Démolisseuse-récupératrice de matériaux du BTP;13955
F;17;04;Gravatier / Gravatière;15399
F;17;04;Gravillonneur / Gravillonneuse;15419
F;17;04;Magasinier / Magasinière de dépôt d'entreprise du BTP;16279
F;17;04;Manoeuvre bâtiment;16351
F;17;04;Manoeuvre de chantier;16352
F;17;04;Manoeuvre gros oeuvre;16354
F;17;04;Manoeuvre routier / routière;16356
F;17;04;Manoeuvre travaux publics;16357
F;17;04;Ouvrier / Ouvrière en démolition;17491
F;17;04;Scieur carotteur / Scieuse carotteuse de béton;38155
F;17;04;Terrassier / Terrassière;20309
F;17;04;Tireur / Tireuse au râteau;20329
F;17;05;Pose de canalisations; 
F;17;05;Agent / Agente de réseaux de canalisation;10589
F;17;05;Canalisateur / Canalisatrice;11661
F;17;05;Chef d'équipe canalisateur / canalisatrice;12394
F;17;05;Constructeur / Constructrice en canalisations d'hygiène publique et voies urbaines;13521
F;17;05;Poseur / Poseuse de canalisations;17906
F;17;05;Poseur / Poseuse de tuyaux;17938
F;17;06;Préfabrication en béton industriel; 
F;17;06;Agent / Agente de fabrication de l'industrie du béton;10446
F;17;06;Agent / Agente de précontrainte de l'industrie du béton;10550
F;17;06;Agent / Agente de préfabrication de l'industrie du béton;10551
F;17;06;Armaturier / Armaturière de l'industrie du béton;11140
F;17;06;Chef d'équipe de l'industrie du béton;12414
F;17;06;Finisseur / Finisseuse de l'industrie du béton;15090
F;17;06;Mouleur / Mouleuse de l'industrie du béton;16919
F;17;06;Préparateur monteur / Préparatrice monteuse de moules de l'industrie du béton;18036
G; ; ;"Hôtellerie-Restauration; Tourisme; Loisirs et Animation"; 
G;11; ;Accueil et promotion touristique; 
G;11;01;Accueil touristique; 
G;11;01;Agent / Agente d'accueil touristique;10375
G;11;01;Chargé / Chargée d'accueil en réceptif local;11745
G;11;01;Chargé / Chargée d'accueil touristique;11747
G;11;01;Conseiller / Conseillère en séjour touristique;13453
G;11;01;Hôte / Hôtesse d'accueil et d'animation de croisière;15482
G;11;01;Hôte / Hôtesse d'accueil tourisme;15485
G;11;01;Hôte animateur / Hôtesse animatrice de croisière fluviale;15478
G;11;01;Hôte animateur / Hôtesse animatrice de croisière maritime;15479
G;11;01;Permanent local / Permanente locale d'agence réceptive;17663
G;11;01;Représentant local / Représentante locale d'agence réceptive;18558
G;11;01;Steward / Hôtesse de transport maritime;140972
G;11;01;Technicien / Technicienne d'accueil touristique;19707
G;11;02;Promotion du tourisme local; 
G;11;02;Agent / Agente de promotion touristique;10570
G;11;02;Agent / Agente de valorisation du patrimoine;10640
G;11;02;Animateur / Animatrice du patrimoine;11051
G;11;02;Animateur / Animatrice sur la promotion du patrimoine;11068
G;11;02;Animateur promoteur / Animatrice promotrice du patrimoine;11060
G;11;02;Chargé / Chargée de mission tourisme;11828
G;11;02;Chargé / Chargée de promotion des espaces naturels;11850
G;11;02;Chargé / Chargée de promotion du patrimoine;11851
G;11;02;Chargé / Chargée de promotion du tourisme local;11852
G;11;02;Chargé / Chargée de promotion touristique;11853
G;11;02;Chargé / Chargée de valorisation de sites touristiques;11873
G;11;02;Chef de projet de promotion touristique;12236
G;11;02;Chef de projet tourisme;12257
G;11;02;Consultant / Consultante tourisme;140930
G;11;02;Directeur / Directrice d'office du tourisme;14425
G;11;02;Directeur / Directrice de parc régional;14299
G;11;02;Directeur / Directrice de pays d'accueil touristique;14300
G;12; ;Animation d'activités de loisirs; 
G;12;01;"Accompagnement de voyages; d'activités culturelles ou sportives"; 
G;12;01;Accompagnateur / Accompagnatrice d'excursions;10214
G;12;01;Accompagnateur / Accompagnatrice de randonnée;10206
G;12;01;Accompagnateur / Accompagnatrice de randonnée nature;10207
G;12;01;Accompagnateur / Accompagnatrice de séjour linguistique;10208
G;12;01;Accompagnateur / Accompagnatrice de tourisme équestre;10209
G;12;01;Accompagnateur / Accompagnatrice de tourisme sportif;10210
G;12;01;Accompagnateur / Accompagnatrice de voyages;10211
G;12;01;"Accompagnateur / Accompagnatrice de voyages ou d'activités culturelles; sportives et de plein air";10212
G;12;01;Accompagnateur / Accompagnatrice en écotourisme;10215
G;12;01;Accompagnateur / Accompagnatrice en moyenne montagne;10216
G;12;01;Accompagnateur / Accompagnatrice en tourisme vert;10217
G;12;01;Accompagnateur / Accompagnatrice tourisme;10227
G;12;01;Accompagnateur / Accompagnatrice touristique;10228
G;12;01;Conférencier / Conférencière de voyages;13343
G;12;01;Conférencier national / Conférencière nationale;13344
G;12;01;Coordinateur / Coordinatrice de séjour touristique;13681
G;12;01;Guide-accompagnateur / Guide-accompagnatrice;15450
G;12;01;Guide-accompagnateur / Guide-accompagnatrice de pêche;15451
G;12;01;Guide-accompagnateur / Guide-accompagnatrice en écotourisme;15452
G;12;01;Guide conférencier / conférencière;15441
G;12;01;Guide de haute montagne;15442
G;12;01;Guide de pays;15443
G;12;01;Guide de tourisme d'aventure;15444
G;12;01;Guide de tourisme équestre;15445
G;12;01;Guide-interprète;15453
G;12;01;Guide-interprète national / nationale;15454
G;12;01;Guide-interprète régional / régionale;15455
G;12;01;Guide nature;15446
G;12;01;Guide sportif / sportive;15447
G;12;01;Guide touristique;15449
G;12;01;Guide tour leader;15448
G;12;01;Maître randonneur / Maîtresse randonneuse de tourisme;16319
G;12;01;Moniteur / Monitrice guide de pêche de loisirs;16744
G;12;01;Musher guide de randonnée en traîneau;126551
G;12;02;Animation d'activités culturelles ou ludiques; 
G;12;02;Animateur / Animatrice d'activités audiovisuelles;10979
G;12;02;"Animateur / Animatrice d'activités culturelles; techniques ou ludiques";10982
G;12;02;Animateur / Animatrice d'activités culturelles et de détente;10980
G;12;02;Animateur / Animatrice d'activités culturelles et techniques;10981
G;12;02;"Animateur / Animatrice d'activités ludiques (jeux; jouets)";38577
G;12;02;Animateur / Animatrice d'arts plastiques;10985
G;12;02;Animateur / Animatrice d'atelier artistique ou ludique;10986
G;12;02;Animateur / Animatrice d'atelier d'activités manuelles;10987
G;12;02;Animateur / Animatrice d'atelier d'écriture;10989
G;12;02;Animateur / Animatrice d'atelier d'expression corporelle;10990
G;12;02;Animateur / Animatrice d'atelier en maison de retraite;10991
G;12;02;Animateur / Animatrice d'atelier Internet;10992
G;12;02;Animateur / Animatrice d'atelier lecture;10993
G;12;02;Animateur / Animatrice d'atelier multimédia;10994
G;12;02;Animateur / Animatrice d'atelier musical;10995
G;12;02;Animateur / Animatrice d'atelier sciences;10996
G;12;02;Animateur / Animatrice d'écomusée;11037
G;12;02;Animateur / Animatrice d'espace multimédia;11044
G;12;02;Animateur / Animatrice d'espace public numérique;38784
G;12;02;Animateur / Animatrice d'initiation à la nature;11046
G;12;02;Animateur / Animatrice d'initiation aux Technologies de l'Information et de la Communication -TIC-;11047
G;12;02;Animateur / Animatrice de club de vacances;11005
G;12;02;Animateur / Animatrice de cyberespace;11010
G;12;02;Animateur / Animatrice des arts du cirque;11043
G;12;02;Animateur / Animatrice de village de vacances;11036
G;12;02;Animateur / Animatrice éco interprète;11052
G;12;02;Animateur / Animatrice nature environnement;11059
G;12;02;Animateur / Animatrice séjour de vacances pour personnes handicapées;38218
G;12;02;Animateur conseiller / Animatrice conseillère en Technologies de l'Information et de la Communication -TIC-;10976
G;12;02;Conseiller médiateur / Conseillère médiatrice en numérique;140973
G;12;02;Facilitateur / Facilitatrice de FabLab - laboratoire de fabrication numérique;140945
G;12;02;Intervenant / Intervenante en Tai Chi;16063
G;12;02;Professeur / Professeure de yoga;18145
G;12;02;Responsable d'animation en centre de vacances;38058
G;12;02;Responsable d'espace de médiation numérique;140974
