Code1|Code2|Libellé
47.76Z|4776Z|Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé
47.77Z|4777Z|Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé
47.78A|4778A|Commerces de détail d'optique
47.78B|4778B|Commerces de détail de charbons et combustibles
47.78C|4778C|Autres commerces de détail spécialisés divers
47.79Z|4779Z|Commerce de détail de biens d'occasion en magasin
47.81Z|4781Z|Commerce de détail alimentaire sur éventaires et marchés
47.82Z|4782Z|Commerce de détail de textiles, d'habillement et de chaussures sur éventaires et marchés
47.89Z|4789Z|Autres commerces de détail sur éventaires et marchés
47.91A|4791A|Vente à distance sur catalogue général
47.91B|4791B|Vente à distance sur catalogue spécialisé
47.99A|4799A|Vente à domicile
47.99B|4799B|Vente par automates et autres commerces de détail hors magasin, éventaires ou marchés n.c.a.
49.10Z|4910Z|Transport ferroviaire interurbain de voyageurs
49.20Z|4920Z|Transports ferroviaires de fret
49.31Z|4931Z|Transports urbains et suburbains de voyageurs
49.32Z|4932Z|Transports de voyageurs par taxis
49.39A|4939A|Transports routiers réguliers de voyageurs
49.39B|4939B|Autres transports routiers de voyageurs
49.39C|4939C|Téléphériques et remontées mécaniques
49.41A|4941A|Transports routiers de fret interurbains
49.41B|4941B|Transports routiers de fret de proximité
49.41C|4941C|Location de camions avec chauffeur
49.42Z|4942Z|Services de déménagement
49.50Z|4950Z|Transports par conduites
50.10Z|5010Z|Transports maritimes et côtiers de passagers
50.20Z|5020Z|Transports maritimes et côtiers de fret
50.30Z|5030Z|Transports fluviaux de passagers
50.40Z|5040Z|Transports fluviaux de fret
51.10Z|5110Z|Transports aériens de passagers
51.21Z|5121Z|Transports aériens de fret
51.22Z|5122Z|Transports spatiaux
52.10A|5210A|Entreposage et stockage frigorifique
52.10B|5210B|Entreposage et stockage non frigorifique
52.21Z|5221Z|Services auxiliaires des transports terrestres
52.22Z|5222Z|Services auxiliaires des transports par eau
52.23Z|5223Z|Services auxiliaires des transports aériens
52.24A|5224A|Manutention portuaire
52.24B|5224B|Manutention non portuaire
52.29A|5229A|Messagerie, fret express
52.29B|5229B|Affrètement et organisation des transports
53.10Z|5310Z|Activités de poste dans le cadre d'une obligation de service universel
53.20Z|5320Z|Autres activités de poste et de courrier
55.10Z|5510Z|Hôtels et hébergement similaire
55.20Z|5520Z|Hébergement touristique et autre hébergement de courte durée
55.30Z|5530Z|Terrains de camping et parcs pour caravanes ou véhicules de loisirs
55.90Z|5590Z|Autres hébergements
56.10A|5610A|Restauration traditionnelle
56.10B|5610B|Cafétérias et autres libres-services
56.10C|5610C|Restauration de type rapide
56.21Z|5621Z|Services des traiteurs
56.29A|5629A|Restauration collective sous contrat
56.29B|5629B|Autres services de restauration n.c.a.
56.30Z|5630Z|Débits de boissons
58.11Z|5811Z|Édition de livres
58.12Z|5812Z|Édition de répertoires et de fichiers d'adresses
58.13Z|5813Z|Édition de journaux
58.14Z|5814Z|Édition de revues et périodiques
58.19Z|5819Z|Autres activités d'édition
58.21Z|5821Z|Édition de jeux électroniques
58.29A|5829A|Édition de logiciels système et de réseau
58.29B|5829B|Édition de logiciels outils de développement et de langages
58.29C|5829C|Édition de logiciels applicatifs
59.11A|5911A|Production de films et de programmes pour la télévision
59.11B|5911B|Production de films institutionnels et publicitaires
59.11C|5911C|Production de films pour le cinéma
59.12Z|5912Z|Post-production de films cinématographiques, de vidéo et de programmes de télévision
59.13A|5913A|Distribution de films cinématographiques
59.13B|5913B|Édition et distribution vidéo
59.14Z|5914Z|Projection de films cinématographiques
59.20Z|5920Z|Enregistrement sonore et édition musicale
60.10Z|6010Z|Édition et diffusion de programmes radio
60.20A|6020A|Édition de chaînes généralistes
60.20B|6020B|Édition de chaînes thématiques
61.10Z|6110Z|Télécommunications filaires
61.20Z|6120Z|Télécommunications sans fil
61.30Z|6130Z|Télécommunications par satellite
61.90Z|6190Z|Autres activités de télécommunication
62.01Z|6201Z|Programmation informatique
62.02A|6202A|Conseil en systèmes et logiciels informatiques
62.02B|6202B|Tierce maintenance de systèmes et d'applications informatiques
62.03Z|6203Z|Gestion d'installations informatiques
62.09Z|6209Z|Autres activités informatiques
63.11Z|6311Z|Traitement de données, hébergement et activités connexes
63.12Z|6312Z|Portails Internet
63.91Z|6391Z|Activités des agences de presse
63.99Z|6399Z|Autres services d'information n.c.a.
64.11Z|6411Z|Activités de banque centrale
64.19Z|6419Z|Autres intermédiations monétaires
64.20Z|6420Z|Activités des sociétés holding
64.30Z|6430Z|Fonds de placement et entités financières similaires
64.91Z|6491Z|Crédit-bail
64.92Z|6492Z|Autre distribution de crédit
64.99Z|6499Z|Autres activités des services financiers, hors assurance et caisses de retraite, n.c.a.
65.11Z|6511Z|Assurance vie
65.12Z|6512Z|Autres assurances
65.20Z|6520Z|Réassurance
65.30Z|6530Z|Caisses de retraite
66.11Z|6611Z|Administration de marchés financiers
66.12Z|6612Z|Courtage de valeurs mobilières et de marchandises
66.19A|6619A|Supports juridiques de gestion de patrimoine mobilier
66.19B|6619B|Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite, n.c.a.
66.21Z|6621Z|Évaluation des risques et dommages
66.22Z|6622Z|Activités des agents et courtiers d'assurances
66.29Z|6629Z|Autres activités auxiliaires d'assurance et de caisses de retraite
66.30Z|6630Z|Gestion de fonds
68.10Z|6810Z|Activités des marchands de biens immobiliers
68.20A|6820A|Location de logements
68.20B|6820B|Location de terrains et d'autres biens immobiliers
68.31Z|6831Z|Agences immobilières
68.32A|6832A|Administration d'immeubles et autres biens immobiliers
68.32B|6832B|Supports juridiques de gestion de patrimoine immobilier
69.10Z|6910Z|Activités juridiques
69.20Z|6920Z|Activités comptables
70.10Z|7010Z|Activités des sièges sociaux
70.21Z|7021Z|Conseil en relations publiques et communication
70.22Z|7022Z|Conseil pour les affaires et autres conseils de gestion
71.11Z|7111Z|Activités d'architecture
71.12A|7112A|Activité des géomètres
71.12B|7112B|Ingénierie, études techniques
71.20A|7120A|Contrôle technique automobile
71.20B|7120B|Analyses, essais et inspections techniques
72.11Z|7211Z|Recherche-développement en biotechnologie
72.19Z|7219Z|Recherche-développement en autres sciences physiques et naturelles
72.20Z|7220Z|Recherche-développement en sciences humaines et sociales
73.11Z|7311Z|Activités des agences de publicité
73.12Z|7312Z|Régie publicitaire de médias
73.20Z|7320Z|Études de marché et sondages
74.10Z|7410Z|Activités spécialisées de design
74.20Z|7420Z|Activités photographiques
74.30Z|7430Z|Traduction et interprétation
74.90A|7490A|Activité des économistes de la construction
74.90B|7490B|Activités spécialisées, scientifiques et techniques diverses
75.00Z|7500Z|Activités vétérinaires
77.11A|7711A|Location de courte durée de voitures et de véhicules automobiles légers
77.11B|7711B|Location de longue durée de voitures et de véhicules automobiles légers
77.12Z|7712Z|Location et location-bail de camions
77.21Z|7721Z|Location et location-bail d'articles de loisirs et de sport
77.22Z|7722Z|Location de vidéocassettes et disques vidéo
77.29Z|7729Z|Location et location-bail d'autres biens personnels et domestiques
77.31Z|7731Z|Location et location-bail de machines et équipements agricoles
77.32Z|7732Z|Location et location-bail de machines et équipements pour la construction
77.33Z|7733Z|Location et location-bail de machines de bureau et de matériel informatique
77.34Z|7734Z|Location et location-bail de matériels de transport par eau
77.35Z|7735Z|Location et location-bail de matériels de transport aérien
77.39Z|7739Z|Location et location-bail d'autres machines, équipements et biens matériels n.c.a.
77.40Z|7740Z|Location-bail de propriété intellectuelle et de produits similaires, à l'exception des œuvres soumises à copyright
78.10Z|7810Z|Activités des agences de placement de main-d'œuvre
78.20Z|7820Z|Activités des agences de travail temporaire
78.30Z|7830Z|Autre mise à disposition de ressources humaines
79.11Z|7911Z|Activités des agences de voyage
79.12Z|7912Z|Activités des voyagistes
79.90Z|7990Z|Autres services de réservation et activités connexes
80.10Z|8010Z|Activités de sécurité privée
80.20Z|8020Z|Activités liées aux systèmes de sécurité
80.30Z|8030Z|Activités d'enquête
81.10Z|8110Z|Activités combinées de soutien lié aux bâtiments
81.21Z|8121Z|Nettoyage courant des bâtiments
81.22Z|8122Z|Autres activités de nettoyage des bâtiments et nettoyage industriel
81.29A|8129A|Désinfection, désinsectisation, dératisation
81.29B|8129B|Autres activités de nettoyage n.c.a.
81.30Z|8130Z|Services d'aménagement paysager
82.11Z|8211Z|Services administratifs combinés de bureau
82.19Z|8219Z|Photocopie, préparation de documents et autres activités spécialisées de soutien de bureau
82.20Z|8220Z|Activités de centres d'appels
82.30Z|8230Z|Organisation de foires, salons professionnels et congrès
82.91Z|8291Z|Activités des agences de recouvrement de factures et des sociétés d'information financière sur la clientèle
82.92Z|8292Z|Activités de conditionnement
82.99Z|8299Z|Autres activités de soutien aux entreprises n.c.a.
84.11Z|8411Z|Administration publique générale
84.12Z|8412Z|Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale
84.13Z|8413Z|Administration publique (tutelle) des activités économiques
84.21Z|8421Z|Affaires étrangères
84.22Z|8422Z|Défense
84.23Z|8423Z|Justice
84.24Z|8424Z|Activités d'ordre public et de sécurité
84.25Z|8425Z|Services du feu et de secours
84.30A|8430A|Activités générales de sécurité sociale
84.30B|8430B|Gestion des retraites complémentaires
84.30C|8430C|Distribution sociale de revenus
85.10Z|8510Z|Enseignement pré-primaire
85.20Z|8520Z|Enseignement primaire
85.31Z|8531Z|Enseignement secondaire général
85.32Z|8532Z|Enseignement secondaire technique ou professionnel
85.41Z|8541Z|Enseignement post-secondaire non supérieur
85.42Z|8542Z|Enseignement supérieur
85.51Z|8551Z|Enseignement de disciplines sportives et d'activités de loisirs
85.52Z|8552Z|Enseignement culturel
85.53Z|8553Z|Enseignement de la conduite
85.59A|8559A|Formation continue d'adultes
85.59B|8559B|Autres enseignements
85.60Z|8560Z|Activités de soutien à l'enseignement
86.10Z|8610Z|Activités hospitalières
86.21Z|8621Z|Activité des médecins généralistes
86.22A|8622A|Activités de radiodiagnostic et de radiothérapie
86.22B|8622B|Activités chirurgicales
86.22C|8622C|Autres activités des médecins spécialistes
86.23Z|8623Z|Pratique dentaire
86.90A|8690A|Ambulances
86.90B|8690B|Laboratoires d'analyses médicales
86.90C|8690C|Centres de collecte et banques d'organes
86.90D|8690D|Activités des infirmiers et des sages-femmes
86.90E|8690E|Activités des professionnels de la rééducation, de l'appareillage et des pédicures-podologues
86.90F|8690F|Activités de santé humaine non classées ailleurs
87.10A|8710A|Hébergement médicalisé pour personnes âgées
87.10B|8710B|Hébergement médicalisé pour enfants handicapés
87.10C|8710C|Hébergement médicalisé pour adultes handicapés et autre hébergement médicalisé
87.20A|8720A|Hébergement social pour handicapés mentaux et malades mentaux
87.20B|8720B|Hébergement social pour toxicomanes
87.30A|8730A|Hébergement social pour personnes âgées
87.30B|8730B|Hébergement social pour handicapés physiques
87.90A|8790A|Hébergement social pour enfants en difficultés
87.90B|8790B|Hébergement social pour adultes et familles en difficultés et autre hébergement social
88.10A|8810A|Aide à domicile
88.10B|8810B|Accueil ou accompagnement sans hébergement d'adultes handicapés ou de personnes âgées
88.10C|8810C|Aide par le travail
88.91A|8891A|Accueil de jeunes enfants
88.91B|8891B|Accueil ou accompagnement sans hébergement d'enfants handicapés
88.99A|8899A|Autre accueil ou accompagnement sans hébergement d'enfants et d'adolescents
88.99B|8899B|Action sociale sans hébergement n.c.a.
90.01Z|9001Z|Arts du spectacle vivant
90.02Z|9002Z|Activités de soutien au spectacle vivant
90.03A|9003A|Création artistique relevant des arts plastiques
90.03B|9003B|Autre création artistique
90.04Z|9004Z|Gestion de salles de spectacles
91.01Z|9101Z|Gestion des bibliothèques et des archives
91.02Z|9102Z|Gestion des musées
91.03Z|9103Z|Gestion des sites et monuments historiques et des attractions touristiques similaires
91.04Z|9104Z|Gestion des jardins botaniques et zoologiques et des réserves naturelles
92.00Z|9200Z|Organisation de jeux de hasard et d'argent
93.11Z|9311Z|Gestion d'installations sportives
93.12Z|9312Z|Activités de clubs de sports
93.13Z|9313Z|Activités des centres de culture physique
93.19Z|9319Z|Autres activités liées au sport
93.21Z|9321Z|Activités des parcs d'attractions et parcs à thèmes
93.29Z|9329Z|Autres activités récréatives et de loisirs
94.11Z|9411Z|Activités des organisations patronales et consulaires
94.12Z|9412Z|Activités des organisations professionnelles
94.20Z|9420Z|Activités des syndicats de salariés
94.91Z|9491Z|Activités des organisations religieuses
94.92Z|9492Z|Activités des organisations politiques
94.99Z|9499Z|Autres organisations fonctionnant par adhésion volontaire
95.11Z|9511Z|Réparation d'ordinateurs et d'équipements périphériques
95.12Z|9512Z|Réparation d'équipements de communication
95.21Z|9521Z|Réparation de produits électroniques grand public
95.22Z|9522Z|Réparation d'appareils électroménagers et d'équipements pour la maison et le jardin
95.23Z|9523Z|Réparation de chaussures et d'articles en cuir
95.24Z|9524Z|Réparation de meubles et d'équipements du foyer
95.25Z|9525Z|Réparation d'articles d'horlogerie et de bijouterie
95.29Z|9529Z|Réparation d'autres biens personnels et domestiques
96.01A|9601A|Blanchisserie-teinturerie de gros
96.01B|9601B|Blanchisserie-teinturerie de détail
96.02A|9602A|Coiffure
96.02B|9602B|Soins de beauté
96.03Z|9603Z|Services funéraires
96.04Z|9604Z|Entretien corporel
96.09Z|9609Z|Autres services personnels n.c.a.
97.00Z|9700Z|Activités des ménages en tant qu'employeurs de personnel domestique
98.10Z|9810Z|Activités indifférenciées des ménages en tant que producteurs de biens pour usage propre
98.20Z|9820Z|Activités indifférenciées des ménages en tant que producteurs de services pour usage propre
99.00Z|9900Z|Activités des organisations et organismes extraterritoriaux
