NAF|NAF_alternatif|label
4776Z|47.76Z|Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé
4777Z|47.77Z|Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé
4778A|47.78A|Commerces de détail d'optique
4778B|47.78B|Commerces de détail de charbons et combustibles
4778C|47.78C|Autres commerces de détail spécialisés divers
4779Z|47.79Z|Commerce de détail de biens d'occasion en magasin
4781Z|47.81Z|Commerce de détail alimentaire sur éventaires et marchés
4782Z|47.82Z|Commerce de détail de textiles, d'habillement et de chaussures sur éventaires et marchés
4789Z|47.89Z|Autres commerces de détail sur éventaires et marchés
4791A|47.91A|Vente à distance sur catalogue général
4791B|47.91B|Vente à distance sur catalogue spécialisé
4799A|47.99A|Vente à domicile
4799B|47.99B|Vente par automates et autres commerces de détail hors magasin, éventaires ou marchés n.c.a.
4910Z|49.10Z|Transport ferroviaire interurbain de voyageurs
4920Z|49.20Z|Transports ferroviaires de fret
4931Z|49.31Z|Transports urbains et suburbains de voyageurs
4932Z|49.32Z|Transports de voyageurs par taxis
4939A|49.39A|Transports routiers réguliers de voyageurs
4939B|49.39B|Autres transports routiers de voyageurs
4939C|49.39C|Téléphériques et remontées mécaniques
4941A|49.41A|Transports routiers de fret interurbains
4941B|49.41B|Transports routiers de fret de proximité
4941C|49.41C|Location de camions avec chauffeur
4942Z|49.42Z|Services de déménagement
4950Z|49.50Z|Transports par conduites
5010Z|50.10Z|Transports maritimes et côtiers de passagers
5020Z|50.20Z|Transports maritimes et côtiers de fret
5030Z|50.30Z|Transports fluviaux de passagers
5040Z|50.40Z|Transports fluviaux de fret
5110Z|51.10Z|Transports aériens de passagers
5121Z|51.21Z|Transports aériens de fret
5122Z|51.22Z|Transports spatiaux
5210A|52.10A|Entreposage et stockage frigorifique
5210B|52.10B|Entreposage et stockage non frigorifique
5221Z|52.21Z|Services auxiliaires des transports terrestres
5222Z|52.22Z|Services auxiliaires des transports par eau
5223Z|52.23Z|Services auxiliaires des transports aériens
5224A|52.24A|Manutention portuaire
5224B|52.24B|Manutention non portuaire
5229A|52.29A|Messagerie, fret express
5229B|52.29B|Affrètement et organisation des transports
5310Z|53.10Z|Activités de poste dans le cadre d'une obligation de service universel
5320Z|53.20Z|Autres activités de poste et de courrier
5510Z|55.10Z|Hôtels et hébergement similaire
5520Z|55.20Z|Hébergement touristique et autre hébergement de courte durée
5530Z|55.30Z|Terrains de camping et parcs pour caravanes ou véhicules de loisirs
5590Z|55.90Z|Autres hébergements
5610A|56.10A|Restauration traditionnelle
5610B|56.10B|Cafétérias et autres libres-services
5610C|56.10C|Restauration de type rapide
5621Z|56.21Z|Services des traiteurs
5629A|56.29A|Restauration collective sous contrat
5629B|56.29B|Autres services de restauration n.c.a.
5630Z|56.30Z|Débits de boissons
5811Z|58.11Z|Édition de livres
5812Z|58.12Z|Édition de répertoires et de fichiers d'adresses
5813Z|58.13Z|Édition de journaux
5814Z|58.14Z|Édition de revues et périodiques
5819Z|58.19Z|Autres activités d'édition
5821Z|58.21Z|Édition de jeux électroniques
5829A|58.29A|Édition de logiciels système et de réseau
5829B|58.29B|Édition de logiciels outils de développement et de langages
5829C|58.29C|Édition de logiciels applicatifs
5911A|59.11A|Production de films et de programmes pour la télévision
5911B|59.11B|Production de films institutionnels et publicitaires
5911C|59.11C|Production de films pour le cinéma
5912Z|59.12Z|Post-production de films cinématographiques, de vidéo et de programmes de télévision
5913A|59.13A|Distribution de films cinématographiques
5913B|59.13B|Édition et distribution vidéo
5914Z|59.14Z|Projection de films cinématographiques
5920Z|59.20Z|Enregistrement sonore et édition musicale
6010Z|60.10Z|Édition et diffusion de programmes radio
6020A|60.20A|Édition de chaînes généralistes
6020B|60.20B|Édition de chaînes thématiques
6110Z|61.10Z|Télécommunications filaires
6120Z|61.20Z|Télécommunications sans fil
6130Z|61.30Z|Télécommunications par satellite
6190Z|61.90Z|Autres activités de télécommunication
6201Z|62.01Z|Programmation informatique
6202A|62.02A|Conseil en systèmes et logiciels informatiques
6202B|62.02B|Tierce maintenance de systèmes et d'applications informatiques
6203Z|62.03Z|Gestion d'installations informatiques
6209Z|62.09Z|Autres activités informatiques
6311Z|63.11Z|Traitement de données, hébergement et activités connexes
6312Z|63.12Z|Portails Internet
6391Z|63.91Z|Activités des agences de presse
6399Z|63.99Z|Autres services d'information n.c.a.
6411Z|64.11Z|Activités de banque centrale
6419Z|64.19Z|Autres intermédiations monétaires
6420Z|64.20Z|Activités des sociétés holding
6430Z|64.30Z|Fonds de placement et entités financières similaires
6491Z|64.91Z|Crédit-bail
6492Z|64.92Z|Autre distribution de crédit
6499Z|64.99Z|Autres activités des services financiers, hors assurance et caisses de retraite, n.c.a.
6511Z|65.11Z|Assurance vie
6512Z|65.12Z|Autres assurances
6520Z|65.20Z|Réassurance
6530Z|65.30Z|Caisses de retraite
6611Z|66.11Z|Administration de marchés financiers
6612Z|66.12Z|Courtage de valeurs mobilières et de marchandises
6619A|66.19A|Supports juridiques de gestion de patrimoine mobilier
6619B|66.19B|Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite, n.c.a.
6621Z|66.21Z|Évaluation des risques et dommages
6622Z|66.22Z|Activités des agents et courtiers d'assurances
6629Z|66.29Z|Autres activités auxiliaires d'assurance et de caisses de retraite
6630Z|66.30Z|Gestion de fonds
6810Z|68.10Z|Activités des marchands de biens immobiliers
6820A|68.20A|Location de logements
6820B|68.20B|Location de terrains et d'autres biens immobiliers
6831Z|68.31Z|Agences immobilières
6832A|68.32A|Administration d'immeubles et autres biens immobiliers
6832B|68.32B|Supports juridiques de gestion de patrimoine immobilier
6910Z|69.10Z|Activités juridiques
6920Z|69.20Z|Activités comptables
7010Z|70.10Z|Activités des sièges sociaux
7021Z|70.21Z|Conseil en relations publiques et communication
7022Z|70.22Z|Conseil pour les affaires et autres conseils de gestion
7111Z|71.11Z|Activités d'architecture
7112A|71.12A|Activité des géomètres
7112B|71.12B|Ingénierie, études techniques
7120A|71.20A|Contrôle technique automobile
7120B|71.20B|Analyses, essais et inspections techniques
7211Z|72.11Z|Recherche-développement en biotechnologie
7219Z|72.19Z|Recherche-développement en autres sciences physiques et naturelles
7220Z|72.20Z|Recherche-développement en sciences humaines et sociales
7311Z|73.11Z|Activités des agences de publicité
7312Z|73.12Z|Régie publicitaire de médias
7320Z|73.20Z|Études de marché et sondages
7410Z|74.10Z|Activités spécialisées de design
7420Z|74.20Z|Activités photographiques
7430Z|74.30Z|Traduction et interprétation
7490A|74.90A|Activité des économistes de la construction
7490B|74.90B|Activités spécialisées, scientifiques et techniques diverses
7500Z|75.00Z|Activités vétérinaires
7711A|77.11A|Location de courte durée de voitures et de véhicules automobiles légers
7711B|77.11B|Location de longue durée de voitures et de véhicules automobiles légers
7712Z|77.12Z|Location et location-bail de camions
7721Z|77.21Z|Location et location-bail d'articles de loisirs et de sport
7722Z|77.22Z|Location de vidéocassettes et disques vidéo
7729Z|77.29Z|Location et location-bail d'autres biens personnels et domestiques
7731Z|77.31Z|Location et location-bail de machines et équipements agricoles
7732Z|77.32Z|Location et location-bail de machines et équipements pour la construction
7733Z|77.33Z|Location et location-bail de machines de bureau et de matériel informatique
7734Z|77.34Z|Location et location-bail de matériels de transport par eau
7735Z|77.35Z|Location et location-bail de matériels de transport aérien
7739Z|77.39Z|Location et location-bail d'autres machines, équipements et biens matériels n.c.a.
7740Z|77.40Z|Location-bail de propriété intellectuelle et de produits similaires, à l'exception des œuvres soumises à copyright
7810Z|78.10Z|Activités des agences de placement de main-d'œuvre
7820Z|78.20Z|Activités des agences de travail temporaire
7830Z|78.30Z|Autre mise à disposition de ressources humaines
7911Z|79.11Z|Activités des agences de voyage
7912Z|79.12Z|Activités des voyagistes
7990Z|79.90Z|Autres services de réservation et activités connexes
8010Z|80.10Z|Activités de sécurité privée
8020Z|80.20Z|Activités liées aux systèmes de sécurité
8030Z|80.30Z|Activités d'enquête
8110Z|81.10Z|Activités combinées de soutien lié aux bâtiments
8121Z|81.21Z|Nettoyage courant des bâtiments
8122Z|81.22Z|Autres activités de nettoyage des bâtiments et nettoyage industriel
8129A|81.29A|Désinfection, désinsectisation, dératisation
8129B|81.29B|Autres activités de nettoyage n.c.a.
8130Z|81.30Z|Services d'aménagement paysager
8211Z|82.11Z|Services administratifs combinés de bureau
8219Z|82.19Z|Photocopie, préparation de documents et autres activités spécialisées de soutien de bureau
8220Z|82.20Z|Activités de centres d'appels
8230Z|82.30Z|Organisation de foires, salons professionnels et congrès
8291Z|82.91Z|Activités des agences de recouvrement de factures et des sociétés d'information financière sur la clientèle
8292Z|82.92Z|Activités de conditionnement
8299Z|82.99Z|Autres activités de soutien aux entreprises n.c.a.
8411Z|84.11Z|Administration publique générale
8412Z|84.12Z|Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale
8413Z|84.13Z|Administration publique (tutelle) des activités économiques
8421Z|84.21Z|Affaires étrangères
8422Z|84.22Z|Défense
8423Z|84.23Z|Justice
8424Z|84.24Z|Activités d'ordre public et de sécurité
8425Z|84.25Z|Services du feu et de secours
8430A|84.30A|Activités générales de sécurité sociale
8430B|84.30B|Gestion des retraites complémentaires
8430C|84.30C|Distribution sociale de revenus
8510Z|85.10Z|Enseignement pré-primaire
8520Z|85.20Z|Enseignement primaire
8531Z|85.31Z|Enseignement secondaire général
8532Z|85.32Z|Enseignement secondaire technique ou professionnel
8541Z|85.41Z|Enseignement post-secondaire non supérieur
8542Z|85.42Z|Enseignement supérieur
8551Z|85.51Z|Enseignement de disciplines sportives et d'activités de loisirs
8552Z|85.52Z|Enseignement culturel
8553Z|85.53Z|Enseignement de la conduite
8559A|85.59A|Formation continue d'adultes
8559B|85.59B|Autres enseignements
8560Z|85.60Z|Activités de soutien à l'enseignement
8610Z|86.10Z|Activités hospitalières
8621Z|86.21Z|Activité des médecins généralistes
8622A|86.22A|Activités de radiodiagnostic et de radiothérapie
8622B|86.22B|Activités chirurgicales
8622C|86.22C|Autres activités des médecins spécialistes
8623Z|86.23Z|Pratique dentaire
8690A|86.90A|Ambulances
8690B|86.90B|Laboratoires d'analyses médicales
8690C|86.90C|Centres de collecte et banques d'organes
8690D|86.90D|Activités des infirmiers et des sages-femmes
8690E|86.90E|Activités des professionnels de la rééducation, de l'appareillage et des pédicures-podologues
8690F|86.90F|Activités de santé humaine non classées ailleurs
8710A|87.10A|Hébergement médicalisé pour personnes âgées
8710B|87.10B|Hébergement médicalisé pour enfants handicapés
8710C|87.10C|Hébergement médicalisé pour adultes handicapés et autre hébergement médicalisé
8720A|87.20A|Hébergement social pour handicapés mentaux et malades mentaux
8720B|87.20B|Hébergement social pour toxicomanes
8730A|87.30A|Hébergement social pour personnes âgées
8730B|87.30B|Hébergement social pour handicapés physiques
8790A|87.90A|Hébergement social pour enfants en difficultés
8790B|87.90B|Hébergement social pour adultes et familles en difficultés et autre hébergement social
8810A|88.10A|Aide à domicile
8810B|88.10B|Accueil ou accompagnement sans hébergement d'adultes handicapés ou de personnes âgées
8810C|88.10C|Aide par le travail
8891A|88.91A|Accueil de jeunes enfants
8891B|88.91B|Accueil ou accompagnement sans hébergement d'enfants handicapés
8899A|88.99A|Autre accueil ou accompagnement sans hébergement d'enfants et d'adolescents
8899B|88.99B|Action sociale sans hébergement n.c.a.
9001Z|90.01Z|Arts du spectacle vivant
9002Z|90.02Z|Activités de soutien au spectacle vivant
9003A|90.03A|Création artistique relevant des arts plastiques
9003B|90.03B|Autre création artistique
9004Z|90.04Z|Gestion de salles de spectacles
9101Z|91.01Z|Gestion des bibliothèques et des archives
9102Z|91.02Z|Gestion des musées
9103Z|91.03Z|Gestion des sites et monuments historiques et des attractions touristiques similaires
9104Z|91.04Z|Gestion des jardins botaniques et zoologiques et des réserves naturelles
9200Z|92.00Z|Organisation de jeux de hasard et d'argent
9311Z|93.11Z|Gestion d'installations sportives
9312Z|93.12Z|Activités de clubs de sports
9313Z|93.13Z|Activités des centres de culture physique
9319Z|93.19Z|Autres activités liées au sport
9321Z|93.21Z|Activités des parcs d'attractions et parcs à thèmes
9329Z|93.29Z|Autres activités récréatives et de loisirs
9411Z|94.11Z|Activités des organisations patronales et consulaires
9412Z|94.12Z|Activités des organisations professionnelles
9420Z|94.20Z|Activités des syndicats de salariés
9491Z|94.91Z|Activités des organisations religieuses
9492Z|94.92Z|Activités des organisations politiques
9499Z|94.99Z|Autres organisations fonctionnant par adhésion volontaire
9511Z|95.11Z|Réparation d'ordinateurs et d'équipements périphériques
9512Z|95.12Z|Réparation d'équipements de communication
9521Z|95.21Z|Réparation de produits électroniques grand public
9522Z|95.22Z|Réparation d'appareils électroménagers et d'équipements pour la maison et le jardin
9523Z|95.23Z|Réparation de chaussures et d'articles en cuir
9524Z|95.24Z|Réparation de meubles et d'équipements du foyer
9525Z|95.25Z|Réparation d'articles d'horlogerie et de bijouterie
9529Z|95.29Z|Réparation d'autres biens personnels et domestiques
9601A|96.01A|Blanchisserie-teinturerie de gros
9601B|96.01B|Blanchisserie-teinturerie de détail
9602A|96.02A|Coiffure
9602B|96.02B|Soins de beauté
9603Z|96.03Z|Services funéraires
9604Z|96.04Z|Entretien corporel
9609Z|96.09Z|Autres services personnels n.c.a.
9700Z|97.00Z|Activités des ménages en tant qu'employeurs de personnel domestique
9810Z|98.10Z|Activités indifférenciées des ménages en tant que producteurs de biens pour usage propre
9820Z|98.20Z|Activités indifférenciées des ménages en tant que producteurs de services pour usage propre
9900Z|99.00Z|Activités des organisations et organismes extraterritoriaux
